roll,pitch,yaw,alt,lat,lon,spd,vbat,rssi,timestamp,datetime
0,0,0,0,0,0,0,0,0,1780714774.48363,2026-06-05T23:59:34.483630
0,0,0,0,0,0,0,0,0,1780714774.503667,2026-06-05T23:59:34.503667
0,0,0,0,0,0,0,0,0,1780714774.5237744,2026-06-05T23:59:34.523774
0,0,0,0,0,0,0,0,0,1780714774.5444903,2026-06-05T23:59:34.544490
0,0,0,0,0,0,0,0,0,1780714774.5834765,2026-06-05T23:59:34.583477
0,0,0,0,0,0,0,0,0,1780714774.6044545,2026-06-05T23:59:34.604455
0,0,0,0,0,0,0,0,0,1780714774.6245127,2026-06-05T23:59:34.624513
0,0,0,0,0,0,0,0,0,1780714774.6475024,2026-06-05T23:59:34.647502
0,0,0,0,0,0,0,0,0,1780714774.6644921,2026-06-05T23:59:34.664492
0,0,0,0,0,0,0,0,0,1780714774.6836278,2026-06-05T23:59:34.683628
0,0,0,0,0,0,0,0,0,1780714774.7064497,2026-06-05T23:59:34.706450
0,0,0,0,0,0,0,0,0,1780714774.7240922,2026-06-05T23:59:34.724092
0,0,0,0,0,0,0,0,0,1780714774.7445827,2026-06-05T23:59:34.744583
0,0,0,0,0,0,0,0,0,1780714774.784101,2026-06-05T23:59:34.784101
0,0,0,0,0,0,0,0,0,1780714774.803498,2026-06-05T23:59:34.803498
0,0,0,0,0,0,0,0,0,1780714774.8236246,2026-06-05T23:59:34.823625
0,0,0,0,0,0,0,0,0,1780714774.8424678,2026-06-05T23:59:34.842468
0,0,0,0,0,0,0,0,0,1780714774.8622916,2026-06-05T23:59:34.862292
0,0,0,0,0,0,0,0,0,1780714774.883451,2026-06-05T23:59:34.883451
0,0,0,0,0,0,0,0,0,1780714774.9028254,2026-06-05T23:59:34.902825
0,0,0,0,0,0,0,0,0,1780714774.9274647,2026-06-05T23:59:34.927465
0,0,0,0,0,0,0,0,0,1780714774.9444551,2026-06-05T23:59:34.944455
0,0,0,0,0,0,0,0,0,1780714774.9639378,2026-06-05T23:59:34.963938
0,0,0,0,0,0,0,0,0,1780714774.9838898,2026-06-05T23:59:34.983890
0,0,0,0,0,0,0,0,0,1780714775.002793,2026-06-05T23:59:35.002793
0,0,0,0,0,0,0,0,0,1780714775.0227237,2026-06-05T23:59:35.022724
0,0,0,0,0,0,0,0,0,1780714775.0421524,2026-06-05T23:59:35.042152
0,0,0,0,0,0,0,0,0,1780714775.0634606,2026-06-05T23:59:35.063461
0,0,0,0,0,0,0,0,0,1780714775.0822601,2026-06-05T23:59:35.082260
0,0,0,0,0,0,0,0,0,1780714775.1074822,2026-06-05T23:59:35.107482
0,0,0,0,0,0,0,0,0,1780714775.1239407,2026-06-05T23:59:35.123941
0,0,0,0,0,0,0,0,0,1780714775.1465082,2026-06-05T23:59:35.146508
0,0,0,0,0,0,0,0,0,1780714775.1834342,2026-06-05T23:59:35.183434
0,0,0,0,0,0,0,0,0,1780714775.2025998,2026-06-05T23:59:35.202600
0,0,0,0,0,0,0,0,0,1780714775.2225344,2026-06-05T23:59:35.222534
0,0,0,0,0,0,0,0,0,1780714775.2464488,2026-06-05T23:59:35.246449
0,0,0,0,0,0,0,0,0,1780714775.2644894,2026-06-05T23:59:35.264489
0,0,0,0,0,0,0,0,0,1780714775.284496,2026-06-05T23:59:35.284496
