type,roll,pitch,yaw,alt,lat,lon,spd,vbat,rssi,datetime
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:39.879381
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:39.902828
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:39.922127
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:39.941813
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:39.960746
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:39.987833
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.002803
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.020756
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.040758
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.062838
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.079096
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.099069
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.122727
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.142756
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.162157
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.180654
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.198878
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.219810
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.239664
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.263030
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.280679
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.302854
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.319827
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.339795
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.359556
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.379682
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.400813
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.420727
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.442860
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.464704
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.479537
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.498945
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.519711
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.539756
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.560097
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.579549
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.601320
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.622046
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.639632
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.659469
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.680792
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.700841
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.722006
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.744618
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.764587
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.779150
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.799071
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.819378
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.839797
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.859755
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.879514
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.899851
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.921721
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.939795
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.962242
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:40.980715
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.000477
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.020581
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.039793
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.059740
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.079306
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.099084
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.119094
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.139513
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.160842
